Epoch, Ratio of 1s (if random), Location of ASM (if needed), Accuracy, Loss
1, , , 0.30887371301651, 0.01483775960097134 
2, , , 0.4112628102302551, 0.01312518440212406 
3, , , 0.44667235016822815, 0.011944994889835449 
4, , , 0.4513651728630066, 0.011707321139936154 
5, , , 0.4581911265850067, 0.011559370066017014 
6, , , 0.47312286496162415, 0.011208618358540454 
7, , , 0.49146756529808044, 0.010867523162946766 
8, , , 0.5034129619598389, 0.010600956582778957 
9, , , 0.5004266500473022, 0.010770107152213822 
10, , , 0.513225257396698, 0.01059315743961025 
11, , , 0.5174914598464966, 0.010513352109405369 
12, , , 0.5179181098937988, 0.010524497949120942 
13, , , 0.5217576622962952, 0.010515206642830332 
14, , , 0.533703088760376, 0.010430822533526722 
15, , , 0.5277303457260132, 0.010586632116866192 
16, , , 0.5298634767532349, 0.010558270162715237 
17, , , 0.5388225317001343, 0.0104328382366143 
18, , , 0.538395881652832, 0.010541620085797822 
19, , , 0.5375426411628723, 0.010439225027509314 
20, , , 0.5584471225738525, 0.009999898793144031 
21, , , 0.5554607510566711, 0.010263679774776864 
22, , , 0.5541808605194092, 0.010413902922956204 
23, , , 0.5541808605194092, 0.01039238688583667 
24, , , 0.5392491221427917, 0.010796926976038531 
25, , , 0.5490614175796509, 0.010557441276088103 
26, , , 0.5473549365997314, 0.010613803093801586 
27, , , 0.55162113904953, 0.010493531530729332 
28, , , 0.546928346157074, 0.010588036649844548 
29, , , 0.546928346157074, 0.010627072434808817 
30, , , 0.5486348271369934, 0.01059443252828646 
