Epoch, Ratio of 1s (if random), Location of ASM (if needed), Accuracy, Loss
142, , layer3.1.conv2, 0.961077868938446, 0.0009748288948914248 
143, , layer3.1.conv2, 0.9592814445495605, 0.0009709755198550439 
144, , layer3.1.conv2, 0.9628742337226868, 0.0009388897646062388 
145, , layer3.1.conv2, 0.9616766571998596, 0.0009343102005516697 
146, , layer3.1.conv2, 0.9622754454612732, 0.0009401943830182096 
147, , layer3.1.conv2, 0.961077868938446, 0.0009464697248698352 
148, , layer3.1.conv2, 0.9598802328109741, 0.0009381302693736054 
149, , layer3.1.conv2, 0.961077868938446, 0.0009556863066589761 
150, , layer3.1.conv2, 0.9616766571998596, 0.0009446865968227744 
151, , layer4.1.conv2, 0.6077844500541687, 0.0114494000366348 
152, , layer4.1.conv2, 0.8245509266853333, 0.006319043879023569 
153, , layer4.1.conv2, 0.9017964005470276, 0.003829474720412386 
154, , layer4.1.conv2, 0.9113772511482239, 0.0028658389777480487 
155, , layer4.1.conv2, 0.9281437397003174, 0.0022734579033480435 
156, , layer4.1.conv2, 0.93113774061203, 0.0019752304443342245 
157, , layer4.1.conv2, 0.9359281659126282, 0.0017831888072148054 
158, , layer4.1.conv2, 0.9407185912132263, 0.0016255476294520373 
159, , layer4.1.conv2, 0.9443113803863525, 0.0015209656766431775 
160, , layer4.1.conv2, 0.9479041695594788, 0.0014354268300854518 
161, , layer4.1.conv2, 0.9508982300758362, 0.0013640492864533098 
162, , layer4.1.conv2, 0.9502993822097778, 0.001314733848868016 
163, , layer4.1.conv2, 0.9532934427261353, 0.0012255562145909863 
164, , layer4.1.conv2, 0.9556885957717896, 0.001159245480677325 
165, , layer4.1.conv2, 0.955089807510376, 0.001156637230943777 
166, , layer4.1.conv2, 0.9556885957717896, 0.0011042415181141414 
167, , layer4.1.conv2, 0.9562874436378479, 0.0010464478752570238 
168, , layer4.1.conv2, 0.9568862318992615, 0.0010061805181116044 
169, , layer4.1.conv2, 0.955089807510376, 0.0010292819572869174 
170, , layer4.1.conv2, 0.957485020160675, 0.0010208274170890182 
171, , layer4.1.conv2, 0.958682656288147, 0.0009579563669548063 
172, , layer4.1.conv2, 0.958682656288147, 0.0009551394201012072 
173, , layer4.1.conv2, 0.958682656288147, 0.0009720779760199749 
174, , layer4.1.conv2, 0.9604790210723877, 0.0009285103117009837 
175, , layer4.1.conv2, 0.9598802328109741, 0.0009398863477978164 
176, , layer4.1.conv2, 0.9598802328109741, 0.0009496239772412234 
177, , layer4.1.conv2, 0.9592814445495605, 0.0009632413799757372 
178, , layer4.1.conv2, 0.9616766571998596, 0.000922732649114496 
179, , layer4.1.conv2, 0.9598802328109741, 0.0009524521417915821 
180, , layer4.1.conv2, 0.9598802328109741, 0.000965034119606375 
181, , layer1.1.conv2, 0.6035928130149841, 0.011545536832181279 
182, , layer1.1.conv2, 0.8065868020057678, 0.0065962731481312275 
183, , layer1.1.conv2, 0.8814371228218079, 0.00409251842313184 
184, , layer1.1.conv2, 0.901197612285614, 0.0031009086770211864 
185, , layer1.1.conv2, 0.9149700403213501, 0.002455437401989977 
186, , layer1.1.conv2, 0.9239521026611328, 0.0021504166775834777 
187, , layer1.1.conv2, 0.93113774061203, 0.0019136845128621884 
188, , layer1.1.conv2, 0.9359281659126282, 0.0017905317536906567 
189, , layer1.1.conv2, 0.9395209550857544, 0.0016830207010407649 
190, , layer1.1.conv2, 0.9455089569091797, 0.0015587752651490137 
191, , layer1.1.conv2, 0.9479041695594788, 0.0014704243731712867 
192, , layer1.1.conv2, 0.9491018056869507, 0.0014396065299560924 
193, , layer1.1.conv2, 0.9520958065986633, 0.001325291827945652 
194, , layer1.1.conv2, 0.9514970183372498, 0.001294043931195479 
195, , layer1.1.conv2, 0.9544910192489624, 0.0012585511743397769 
196, , layer1.1.conv2, 0.9532934427261353, 0.0012122247066951083 
197, , layer1.1.conv2, 0.9562874436378479, 0.001141574179117908 
198, , layer1.1.conv2, 0.9580838084220886, 0.0010927636265576242 
199, , layer1.1.conv2, 0.9568862318992615, 0.001115049862353031 
200, , layer1.1.conv2, 0.9562874436378479, 0.0010878466671990776 
201, , layer1.1.conv2, 0.9580838084220886, 0.0010492283031121343 
202, , layer1.1.conv2, 0.9580838084220886, 0.0010371386067952939 
203, , layer1.1.conv2, 0.9598802328109741, 0.0010338805286871815 
204, , layer1.1.conv2, 0.9598802328109741, 0.0010062131244399234 
205, , layer1.1.conv2, 0.9598802328109741, 0.0009984323230689156 
206, , layer1.1.conv2, 0.9598802328109741, 0.0010081220942432295 
207, , layer1.1.conv2, 0.9580838084220886, 0.001011568808113922 
208, , layer1.1.conv2, 0.9604790210723877, 0.0010079649845863173 
209, , layer1.1.conv2, 0.9598802328109741, 0.0010273208646494115 
210, , layer1.1.conv2, 0.9592814445495605, 0.00101219490728157 
211, , allConv, 0.6071856021881104, 0.011450151554838625 
212, , allConv, 0.8245509266853333, 0.006319552088925939 
213, , allConv, 0.9023951888084412, 0.003831263662812239 
214, , allConv, 0.9113772511482239, 0.00286850182417624 
215, , allConv, 0.9281437397003174, 0.0022761548082985564 
216, , allConv, 0.9305388927459717, 0.0019782620588105594 
217, , allConv, 0.9353293180465698, 0.0017856774394383688 
218, , allConv, 0.940119743347168, 0.0016282189570501178 
219, , allConv, 0.9455089569091797, 0.0015228769914832658 
220, , allConv, 0.9491018056869507, 0.0014350846677483198 
221, , allConv, 0.9508982300758362, 0.0013634679515561658 
222, , allConv, 0.9508982300758362, 0.0013145193346067816 
223, , allConv, 0.9532934427261353, 0.0012251088975700076 
224, , allConv, 0.955089807510376, 0.001160045013857816 
225, , allConv, 0.955089807510376, 0.001156766997081434 
226, , allConv, 0.955089807510376, 0.0011044467760328047 
227, , allConv, 0.9556885957717896, 0.0010447363318975814 
228, , allConv, 0.9568862318992615, 0.0010047386757315632 
229, , allConv, 0.9556885957717896, 0.0010287582009896904 
230, , allConv, 0.957485020160675, 0.0010197846458745218 
231, , allConv, 0.958682656288147, 0.0009577696256250322 
232, , allConv, 0.9592814445495605, 0.0009536681362165662 
233, , allConv, 0.958682656288147, 0.0009703299209118604 
234, , allConv, 0.9604790210723877, 0.0009261129920309532 
235, , allConv, 0.9604790210723877, 0.0009385374653526766 
236, , allConv, 0.9598802328109741, 0.0009482684623293891 
237, , allConv, 0.9598802328109741, 0.0009616171723666662 
238, , allConv, 0.9616766571998596, 0.0009216536321638231 
239, , allConv, 0.9598802328109741, 0.0009507600669776965 
240, , allConv, 0.9598802328109741, 0.0009632393918529956 
241, , avgpool, 0.6053892374038696, 0.01153810695259871 
242, , avgpool, 0.8185628652572632, 0.006497461174776454 
243, , avgpool, 0.8994011878967285, 0.003971041979903946 
244, , avgpool, 0.9077844023704529, 0.002967965808100329 
245, , avgpool, 0.9239521026611328, 0.0023638275301385066 
246, , avgpool, 0.9293413162231445, 0.0020440268659306145 
247, , avgpool, 0.93113774061203, 0.0018543923240221902 
248, , avgpool, 0.9377245306968689, 0.001689032634753667 
249, , avgpool, 0.942514955997467, 0.0015772168953975517 
250, , avgpool, 0.9467065930366516, 0.0014883229341692552 
251, , avgpool, 0.9473053812980652, 0.0014266187068588006 
252, , avgpool, 0.9473053812980652, 0.0013626236892388967 
253, , avgpool, 0.9526945948600769, 0.0012822867175954545 
254, , avgpool, 0.9526945948600769, 0.0012108983906978618 
255, , avgpool, 0.9538922309875488, 0.0012114494336311688 
256, , avgpool, 0.9538922309875488, 0.0011538108141568605 
257, , avgpool, 0.9562874436378479, 0.0010862679906680198 
258, , avgpool, 0.955089807510376, 0.001050012762808871 
259, , avgpool, 0.9562874436378479, 0.0010738749090515212 
260, , avgpool, 0.9562874436378479, 0.0010707718353651597 
261, , avgpool, 0.9580838084220886, 0.0009956210327451815 
262, , avgpool, 0.958682656288147, 0.0009950313243100386 
263, , avgpool, 0.9592814445495605, 0.001019651843736807 
264, , avgpool, 0.9580838084220886, 0.0009671552686723406 
265, , avgpool, 0.958682656288147, 0.0009831091701359806 
266, , avgpool, 0.9580838084220886, 0.0009926335523629973 
267, , avgpool, 0.9592814445495605, 0.0010051636147998765 
268, , avgpool, 0.9598802328109741, 0.0009561689498047986 
269, , avgpool, 0.958682656288147, 0.00098761411461823 
270, , avgpool, 0.958682656288147, 0.0010139247212938205 
