Epoch, Ratio of 1s (if random), Location of ASM (if needed), Accuracy, Loss
1, 1.0, , 0.1929244101047516, 0.015378927996395866 
2, 1.0, , 0.19216085970401764, 0.016258493547495402 
3, 1.0, , 0.20081445574760437, 0.015714952131967018 
4, 1.0, , 0.18223465979099274, 0.015167835681727897 
5, 1.0, , 0.1931789219379425, 0.015324834194702786 
6, 1.0, , 0.20717740058898926, 0.015315081090774205 
7, 1.0, , 0.17943497002124786, 0.015301119070618655 
8, 1.0, , 0.1913973093032837, 0.01553923809428226 
9, 1.0, , 0.1880885660648346, 0.015817366686447426 
10, 1.0, , 0.20895902812480927, 0.01517941391052378 
11, 1.0, , 0.18681597709655762, 0.015840142608811517 
12, 1.0, , 0.1865614652633667, 0.015343505179011266 
13, 1.0, , 0.19750572741031647, 0.015495611833051495 
14, 1.0, , 0.1898701936006546, 0.01549818965429324 
15, 1.0, , 0.19088827073574066, 0.01558431768332404 
16, 1.0, , 0.18885213136672974, 0.015068594266756039 
17, 1.0, , 0.1814711093902588, 0.015328235740302384 
18, 1.0, , 0.19241537153720856, 0.015357749581670724 
19, 1.0, , 0.18198014795780182, 0.015996964052452267 
20, 1.0, , 0.1962331384420395, 0.015419753279264843 
21, 1.0, , 0.19190633296966553, 0.015574728602154257 
22, 1.0, , 0.1929244101047516, 0.01558220966015799 
23, 1.0, , 0.18605242669582367, 0.015394486007146721 
24, 1.0, , 0.19368796050548553, 0.01554669627526784 
25, 1.0, , 0.1962331384420395, 0.015477552126308955 
26, 1.0, , 0.21074064075946808, 0.015400043514491523 
27, 1.0, , 0.20030541718006134, 0.015348434175174331 
28, 1.0, , 0.1883430927991867, 0.015255549658525078 
29, 1.0, , 0.19063374400138855, 0.015841900710690627 
30, 1.0, , 0.176635280251503, 0.015252109640698664 
31, 0.8, , 0.1916518211364746, 0.015385728023166904 
32, 0.8, , 0.1916518211364746, 0.01614343680082978 
33, 0.8, , 0.1916518211364746, 0.015385424857165073 
34, 0.8, , 0.1916518211364746, 0.015385121812526735 
35, 0.8, , 0.1916518211364746, 0.015385121842867607 
36, 0.8, , 0.1916518211364746, 0.015384818767888397 
37, 0.8, , 0.1916518211364746, 0.015386334142784454 
38, 0.8, , 0.1916518211364746, 0.015385121812526735 
39, 0.8, , 0.1916518211364746, 0.01539434668185845 
40, 0.8, , 0.1916518211364746, 0.015391581930498884 
41, 0.8, , 0.1916518211364746, 0.015385121873208481 
42, 0.8, , 0.1916518211364746, 0.015384818767888397 
43, 0.8, , 0.1916518211364746, 0.015384818767888397 
44, 0.8, , 0.1916518211364746, 0.015384818767888397 
45, 0.8, , 0.1916518211364746, 0.015384818767888397 
46, 0.8, , 0.1916518211364746, 0.015384818767888397 
47, 0.8, , 0.1916518211364746, 0.015387376109040946 
48, 0.8, , 0.1916518211364746, 0.015386637248104539 
49, 0.8, , 0.1916518211364746, 0.015384818767888397 
50, 0.8, , 0.1916518211364746, 0.015385121873208481 
51, 0.8, , 0.1916518211364746, 0.015385121812526735 
52, 0.8, , 0.1916518211364746, 0.015394347076289798 
53, 0.8, , 0.1916518211364746, 0.015384818767888397 
54, 0.8, , 0.1916518211364746, 0.015385424948187692 
55, 0.8, , 0.1916518211364746, 0.015385424948187692 
56, 0.8, , 0.1916518211364746, 0.015385121812526735 
57, 0.8, , 0.1916518211364746, 0.015385861128576234 
58, 0.8, , 0.1916518211364746, 0.01538542491784682 
59, 0.8, , 0.1916518211364746, 0.015385254584186464 
60, 0.8, , 0.1916518211364746, 0.015384818767888397 
61, 0.6, , 0.1883430927991867, 0.016743208683001293 
62, 0.6, , 0.19572409987449646, 0.01652753990277227 
63, 0.6, , 0.19088827073574066, 0.016516682785502158 
64, 0.6, , 0.20030541718006134, 0.016439798831575606 
65, 0.6, , 0.19776023924350739, 0.016429067173814857 
66, 0.6, , 0.19546958804130554, 0.016498448922149276 
67, 0.6, , 0.1913973093032837, 0.016470603221971955 
68, 0.6, , 0.19063374400138855, 0.016478338657853923 
69, 0.6, , 0.19190633296966553, 0.01648752781597826 
70, 0.6, , 0.1962331384420395, 0.016450493625175804 
71, 0.6, , 0.19725121557712555, 0.016491162804253806 
72, 0.6, , 0.19343344867229462, 0.016465221995098592 
73, 0.6, , 0.1995418667793274, 0.016404656545901668 
74, 0.6, , 0.19521506130695343, 0.016440311076532464 
75, 0.6, , 0.20081445574760437, 0.016414396148141816 
76, 0.6, , 0.19750572741031647, 0.01642904778599709 
77, 0.6, , 0.1929244101047516, 0.01646539475602878 
78, 0.6, , 0.19699668884277344, 0.016422097238155683 
79, 0.6, , 0.19521506130695343, 0.016474998067067943 
80, 0.6, , 0.19699668884277344, 0.016415903816456162 
81, 0.6, , 0.19368796050548553, 0.01647924885369949 
82, 0.6, , 0.19928735494613647, 0.016446022533466265 
83, 0.6, , 0.2028505951166153, 0.016467182288554583 
84, 0.6, , 0.20081445574760437, 0.01641394328027319 
85, 0.6, , 0.19266988337039948, 0.01645383300232687 
86, 0.6, , 0.19877831637859344, 0.016446430921615247 
87, 0.6, , 0.2028505951166153, 0.016388395901216626 
88, 0.6, , 0.1962331384420395, 0.016439808813722784 
89, 0.6, , 0.19572409987449646, 0.016400272411133808 
90, 0.6, , 0.1964876502752304, 0.016479095662632313 
91, 0.4, , 0.1720539629459381, 0.016007496249314693 
92, 0.4, , 0.1964876502752304, 0.01628626630821432 
93, 0.4, , 0.1962331384420395, 0.01617264338017845 
94, 0.4, , 0.20361414551734924, 0.01573722409243255 
95, 0.4, , 0.19419699907302856, 0.016022960810177074 
