Epoch, Ratio of 1s (if random), Location of ASM (if needed), Accuracy, Loss
1, , conv1, 0.3080204725265503, 0.014846689770246122 
2, , conv1, 0.4133959114551544, 0.013146962220351444 
3, , conv1, 0.44368600845336914, 0.011958002382984747 
4, , conv1, 0.454351544380188, 0.011666401127296095 
5, , conv1, 0.46587032079696655, 0.011422242130130631 
6, , conv1, 0.47610920667648315, 0.011227392550214566 
7, , conv1, 0.4880546033382416, 0.010877387642656984 
8, , conv1, 0.4957337975502014, 0.01076480820647889 
9, , conv1, 0.49658703804016113, 0.010799828592573417 
10, , conv1, 0.5081058144569397, 0.010561602139279704 
11, , conv1, 0.5187713503837585, 0.010374884779085072 
12, , conv1, 0.511945366859436, 0.010592268055158671 
13, , conv1, 0.5285836458206177, 0.010391262874846369 
14, , conv1, 0.5426621437072754, 0.010184754385476226 
15, , conv1, 0.5243173837661743, 0.01059780631583095 
16, , conv1, 0.5332764387130737, 0.010352665517135895 
17, , conv1, 0.5401023626327515, 0.010306755722891348 
18, , conv1, 0.5405290126800537, 0.01040333875299212 
19, , conv1, 0.5401023626327515, 0.010436477781664389 
20, , conv1, 0.55162113904953, 0.010119544555124772 
21, , conv1, 0.5486348271369934, 0.010401221933065828 
22, , conv1, 0.546928346157074, 0.010509413454058635 
23, , conv1, 0.5477815866470337, 0.010466272462756967 
24, , conv1, 0.5430887341499329, 0.010729279051258296 
25, , conv1, 0.5499146580696106, 0.010552111761994125 
26, , conv1, 0.5490614175796509, 0.010626118649242275 
27, , conv1, 0.5482081770896912, 0.010604587920747519 
28, , conv1, 0.5465016961097717, 0.01062388733385366 
29, , conv1, 0.5499146580696106, 0.010593542902263154 
30, , conv1, 0.5507678985595703, 0.010540487499011255 
31, , maxpool, 0.3148464262485504, 0.014845200671270846 
32, , maxpool, 0.39761093258857727, 0.01325632687721643 
33, , maxpool, 0.42619454860687256, 0.0121775897594849 
34, , maxpool, 0.4360068142414093, 0.011996394919657464 
35, , maxpool, 0.44453924894332886, 0.011739535428863336 
36, , maxpool, 0.45563140511512756, 0.011610771354554864 
37, , maxpool, 0.4692832827568054, 0.01125941762490891 
38, , maxpool, 0.47909554839134216, 0.011152405673224772 
39, , maxpool, 0.4846416413784027, 0.011188853640147444 
40, , maxpool, 0.49829351902008057, 0.010915803478286941 
41, , maxpool, 0.505972683429718, 0.010756575448419453 
42, , maxpool, 0.49829351902008057, 0.011023278977505786 
43, , maxpool, 0.513225257396698, 0.010803677790095782 
44, , maxpool, 0.5247440338134766, 0.010579049317070852 
45, , maxpool, 0.5157849788665771, 0.010932004409794515 
46, , maxpool, 0.5243173837661743, 0.010655082902098678 
47, , maxpool, 0.532423198223114, 0.010607551770608986 
48, , maxpool, 0.5311433672904968, 0.01075735148487441 
49, , maxpool, 0.5341296792030334, 0.01077002129889389 
50, , maxpool, 0.5430887341499329, 0.010404846529276094 
51, , maxpool, 0.539675772190094, 0.010716991975852654 
52, , maxpool, 0.5388225317001343, 0.010797740274932197 
53, , maxpool, 0.5430887341499329, 0.010759663250004879 
54, , maxpool, 0.5358361601829529, 0.01099146873000437 
55, , maxpool, 0.5413822531700134, 0.010802593775118984 
56, , maxpool, 0.5392491221427917, 0.010898239042851502 
57, , maxpool, 0.5418089032173157, 0.010905578096775472 
58, , maxpool, 0.5401023626327515, 0.010911177100022498 
59, , maxpool, 0.5418089032173157, 0.010852221854081943 
60, , maxpool, 0.5439419746398926, 0.010808939022034305 
61, , layer1.1.conv2, 0.3139931857585907, 0.014989066042590874 
62, , layer1.1.conv2, 0.38481229543685913, 0.01353623725651881 
63, , layer1.1.conv2, 0.4052900969982147, 0.012552026621107356 
64, , layer1.1.conv2, 0.4189419746398926, 0.012361018171489442 
65, , layer1.1.conv2, 0.4236348271369934, 0.012149842525911819 
66, , layer1.1.conv2, 0.4360068142414093, 0.0120213762713984 
67, , layer1.1.conv2, 0.4564846456050873, 0.011667424024626257 
68, , layer1.1.conv2, 0.46715018153190613, 0.011545459819328256 
69, , layer1.1.conv2, 0.46715018153190613, 0.011596181248743787 
70, , layer1.1.conv2, 0.4795221984386444, 0.011294128799194362 
71, , layer1.1.conv2, 0.4889078438282013, 0.011080541498577635 
72, , layer1.1.conv2, 0.483788400888443, 0.011408959410499794 
73, , layer1.1.conv2, 0.5017064809799194, 0.011161265872520594 
74, , layer1.1.conv2, 0.5098122954368591, 0.010916136968054463 
75, , layer1.1.conv2, 0.49957337975502014, 0.01128568970391673 
76, , layer1.1.conv2, 0.5149317383766174, 0.010980083139886628 
77, , layer1.1.conv2, 0.5183447003364563, 0.010983871563048492 
78, , layer1.1.conv2, 0.519197940826416, 0.011060215596351201 
79, , layer1.1.conv2, 0.5217576622962952, 0.011096428475841727 
80, , layer1.1.conv2, 0.5332764387130737, 0.010804902978317729 
81, , layer1.1.conv2, 0.5268771052360535, 0.011098635541879074 
82, , layer1.1.conv2, 0.5302901268005371, 0.011152987816583988 
83, , layer1.1.conv2, 0.5290102362632751, 0.011235121761547217 
84, , layer1.1.conv2, 0.5260238647460938, 0.011439421621020946 
85, , layer1.1.conv2, 0.5315699577331543, 0.0112257018310269 
86, , layer1.1.conv2, 0.5302901268005371, 0.011357968008787762 
87, , layer1.1.conv2, 0.5302901268005371, 0.011362939507226895 
88, , layer1.1.conv2, 0.5290102362632751, 0.011333544692501375 
89, , layer1.1.conv2, 0.5302901268005371, 0.011285596975338336 
90, , layer1.1.conv2, 0.5332764387130737, 0.011219681037189407 
91, , layer2.1.conv2, 0.33489760756492615, 0.014537320761550409 
