Epoch, Ratio of 1s (if random), Location of ASM (if needed), K (if needed), Accuracy, Loss
106, , layer1.1.conv2, , 0.5149317383766174, 0.010980647820152928 
107, , layer1.1.conv2, , 0.5179181098937988, 0.010997221404654785 
108, , layer1.1.conv2, , 0.5187713503837585, 0.011067241531997004 
109, , layer1.1.conv2, , 0.5217576622962952, 0.011100932440812677 
110, , layer1.1.conv2, , 0.533703088760376, 0.010800647422188175 
111, , layer1.1.conv2, , 0.5281569957733154, 0.011089304586039671 
112, , layer1.1.conv2, , 0.5294368863105774, 0.011158610922967818 
113, , layer1.1.conv2, , 0.5298634767532349, 0.011229047736108506 
114, , layer1.1.conv2, , 0.5273037552833557, 0.01142478676245837 
115, , layer1.1.conv2, , 0.5319966077804565, 0.011216081445242053 
116, , layer1.1.conv2, , 0.5298634767532349, 0.011349363529056616 
117, , layer1.1.conv2, , 0.5294368863105774, 0.011351477009889513 
118, , layer1.1.conv2, , 0.5302901268005371, 0.011326518380194394 
119, , layer1.1.conv2, , 0.5298634767532349, 0.011280792884515922 
120, , layer1.1.conv2, , 0.5328498482704163, 0.011215168804743998 
121, , layer2.1.conv2, , 0.335324227809906, 0.014537054015507877 
122, , layer2.1.conv2, , 0.41936859488487244, 0.012720414904604186 
123, , layer2.1.conv2, , 0.47013652324676514, 0.011337312923763393 
124, , layer2.1.conv2, , 0.4846416413784027, 0.010961616723305536 
125, , layer2.1.conv2, , 0.501279890537262, 0.0106621136818933 
126, , layer2.1.conv2, , 0.5127986073493958, 0.010482552731505026 
127, , layer2.1.conv2, , 0.5319966077804565, 0.010097380606743664 
128, , layer2.1.conv2, , 0.5413822531700134, 0.00999883774019549 
129, , layer2.1.conv2, , 0.5413822531700134, 0.010011692382013838 
130, , layer2.1.conv2, , 0.5550341010093689, 0.009772163367617253 
131, , layer2.1.conv2, , 0.5699658989906311, 0.009594480713683184 
132, , layer2.1.conv2, , 0.564846396446228, 0.0097662413416513 
133, , layer2.1.conv2, , 0.5772184133529663, 0.00955591630826326 
134, , layer2.1.conv2, , 0.5827645063400269, 0.009431278024746087 
135, , layer2.1.conv2, , 0.5708191394805908, 0.009792957133883706 
136, , layer2.1.conv2, , 0.5844709873199463, 0.009524856379363724 
