Epoch, Ratio of 1s (if random), Location of ASM (if needed), K (if needed), Accuracy, Loss
95, , layer2.1.conv2, 5, 0.5025597214698792, 0.020933329525050857 
96, , layer2.1.conv2, 5, 0.5102388858795166, 0.020707567327309388 
97, , layer2.1.conv2, 5, 0.5328498482704163, 0.019853143485536347 
98, , layer2.1.conv2, 5, 0.5426621437072754, 0.019656814208870863 
99, , layer2.1.conv2, 5, 0.5482081770896912, 0.019578511988801353 
100, , layer2.1.conv2, 5, 0.5593003630638123, 0.019167758772346753 
101, , layer2.1.conv2, 5, 0.572098970413208, 0.0188226516997448 
102, , layer2.1.conv2, 5, 0.5627133250236511, 0.019267668639255667 
103, , layer2.1.conv2, 5, 0.5806313753128052, 0.018743897966226823 
104, , layer2.1.conv2, 5, 0.5874573588371277, 0.018316772028981826 
105, , layer2.1.conv2, 5, 0.5691125988960266, 0.019361795701798523 
106, , layer2.1.conv2, 5, 0.5844709873199463, 0.018683499332402955 
107, , layer2.1.conv2, 5, 0.5917235612869263, 0.018640604210260987 
108, , layer2.1.conv2, 5, 0.5878839492797852, 0.01905769985741316 
109, , layer2.1.conv2, 5, 0.5959897637367249, 0.01887357595723135 
110, , layer2.1.conv2, 5, 0.6156143546104431, 0.017667993629802616 
111, , layer2.1.conv2, 5, 0.604522168636322, 0.018458258786553407 
112, , layer2.1.conv2, 5, 0.6049488186836243, 0.018447063082937188 
113, , layer2.1.conv2, 5, 0.6156143546104431, 0.018088032075111775 
114, , layer2.1.conv2, 5, 0.5972696542739868, 0.01900424841956677 
115, , layer2.1.conv2, 5, 0.6160409450531006, 0.018066119758647456 
116, , layer2.1.conv2, 5, 0.604522168636322, 0.01871372664143862 
117, , layer2.1.conv2, 5, 0.6075085401535034, 0.018677429950862818 
118, , layer2.1.conv2, 5, 0.6032423377037048, 0.018765264823269925 
119, , layer2.1.conv2, 5, 0.61049485206604, 0.01840772350722409 
120, , layer2.1.conv2, 5, 0.6122013926506042, 0.018353311278231112 
121, , layer3.1.conv2, 5, 0.34215018153190613, 0.02765367721738262 
122, , layer3.1.conv2, 5, 0.46416381001472473, 0.023377812101979305 
123, , layer3.1.conv2, 5, 0.5494880676269531, 0.02009251856152922 
124, , layer3.1.conv2, 5, 0.5546075105667114, 0.01902196385958089 
125, , layer3.1.conv2, 5, 0.5665528774261475, 0.018088245046016707 
126, , layer3.1.conv2, 5, 0.5831910967826843, 0.01760460633415818 
127, , layer3.1.conv2, 5, 0.604522168636322, 0.016790466834457254 
128, , layer3.1.conv2, 5, 0.6075085401535034, 0.016604605617173297 
129, , layer3.1.conv2, 5, 0.6134812235832214, 0.016352380285796046 
130, , layer3.1.conv2, 5, 0.6207337975502014, 0.01609779357808442 
131, , layer3.1.conv2, 5, 0.6356655359268188, 0.015725693185479974 
132, , layer3.1.conv2, 5, 0.6228668689727783, 0.015946361678096214 
133, , layer3.1.conv2, 5, 0.6407849788665771, 0.015597861409568746 
134, , layer3.1.conv2, 5, 0.6497440338134766, 0.015119254229901798 
135, , layer3.1.conv2, 5, 0.6352388858795166, 0.015845077404746017 
136, , layer3.1.conv2, 5, 0.6433447003364563, 0.015467253596277163 
137, , layer3.1.conv2, 5, 0.6420648694038391, 0.015399737741302304 
138, , layer3.1.conv2, 5, 0.6412116289138794, 0.01566752122314615 
139, , layer3.1.conv2, 5, 0.6467576622962952, 0.015564134961102196 
140, , layer3.1.conv2, 5, 0.6655290126800537, 0.01453969611090198 
141, , layer3.1.conv2, 5, 0.6595563292503357, 0.015151788486937004 
142, , layer3.1.conv2, 5, 0.6561433672904968, 0.015166377902997233 
143, , layer3.1.conv2, 5, 0.6591296792030334, 0.014948315708659616 
144, , layer3.1.conv2, 5, 0.6527303457260132, 0.015614356572259815 
145, , layer3.1.conv2, 5, 0.6668089032173157, 0.014785713617890158 
146, , layer3.1.conv2, 5, 0.6591296792030334, 0.01524587258149841 
147, , layer3.1.conv2, 5, 0.6569966077804565, 0.01532049142396389 
148, , layer3.1.conv2, 5, 0.6557167172431946, 0.015441808283786725 
149, , layer3.1.conv2, 5, 0.6621160507202148, 0.015141041745962543 
150, , layer3.1.conv2, 5, 0.6616894006729126, 0.01505066955671884 
151, , layer4.1.conv2, 5, 0.3404437005519867, 0.027547179126902244 
152, , layer4.1.conv2, 5, 0.4744027256965637, 0.02314034366261837 
153, , layer4.1.conv2, 5, 0.5584471225738525, 0.019767234909249653 
154, , layer4.1.conv2, 5, 0.5691125988960266, 0.01858664888875883 
155, , layer4.1.conv2, 5, 0.5857508778572083, 0.017641359387099133 
156, , layer4.1.conv2, 5, 0.5921501517295837, 0.01718710537097153 
157, , layer4.1.conv2, 5, 0.6168941855430603, 0.016311470660740197 
158, , layer4.1.conv2, 5, 0.6224402785301208, 0.01605092964227289 
159, , layer4.1.conv2, 5, 0.6326791644096375, 0.015655389081038307 
160, , layer4.1.conv2, 5, 0.6386518478393555, 0.015490534413389784 
161, , layer4.1.conv2, 5, 0.6476109027862549, 0.015204548854825847 
